1	365492636
2	9343663
3	2678595
4	1983203
5	1892699
6	2079083
7	2292072
8	2461514
9	2566955
10	2631664
11	2682367
12	2734311
13	2831580
14	2996474
15	3243224
16	3572318
17	3990432
18	4462667
19	4998406
20	5549936
21	6110247
22	6629219
23	7089462
24	7435569
25	7670985
26	7750144
27	7683941
28	7468218
29	7099513
30	6627328
31	6050755
32	5432512
33	4772939
34	4122707
35	3494313
36	2919460
37	2394593
38	1935364
39	1537339
40	1209733
41	939913
42	722798
43	552942
44	422122
45	324551
46	250036
47	197165
48	157990
49	129826
50	109753
51	96591
52	87324
53	80726
54	75144
55	71532
56	68968
57	66753
58	64159
59	62354
60	60231
61	58390
62	56212
63	54653
64	51947
65	49723
66	47657
67	45600
68	43829
69	41734
70	40185
71	38160
72	36512
73	34976
74	33782
75	32197
76	30514
77	29319
78	28256
79	27004
80	26309
81	25199
82	23967
83	23396
84	22478
85	21630
86	21131
87	20620
88	19788
89	19361
90	18776
91	18107
92	17879
93	17715
94	17340
95	17013
96	16453
97	16140
98	16131
99	15554
100	14947
101	14571
102	14371
103	13860
104	13575
105	13188
106	12750
107	12617
108	12484
109	12384
110	12168
111	11840
112	11402
113	11308
114	11052
115	10850
116	10492
117	10434
118	10331
119	10024
120	9918
121	9662
122	9580
123	9529
124	9615
125	9480
126	9033
127	9226
128	9263
129	8886
130	8660
131	8851
132	8485
133	8309
134	8315
135	8126
136	8179
137	7917
138	7901
139	7633
140	7732
141	7558
142	7525
143	7387
144	7357
145	7242
146	7137
147	6960
148	6956
149	6924
150	6629
151	6623
152	6638
153	6364
154	6584
155	6404
156	6063
157	6023
158	6036
159	5895
160	5782
161	5761
162	5801
163	5818
164	5664
165	5489
166	5499
167	5363
168	5324
169	5155
170	5135
171	4944
172	4924
173	5030
174	4904
175	4991
176	4871
177	4823
178	4800
179	4655
180	4639
181	4537
182	4441
183	4450
184	4422
185	4371
186	4331
187	4219
188	4256
189	4205
190	4100
191	4110
192	4086
193	3865
194	3866
195	3801
196	3737
197	3642
198	3654
199	3653
200	3537
201	3538
202	3518
203	3472
204	3269
205	3275
206	3258
207	3295
208	3197
209	3231
210	3216
211	3220
212	3214
213	3053
214	3127
215	3018
216	2960
217	3032
218	2984
219	2961
220	2866
221	2981
222	2752
223	2832
224	2839
225	2658
226	2840
227	2737
228	2708
229	2628
230	2765
231	2671
232	2597
233	2662
234	2564
235	2559
236	2566
237	2522
238	2637
239	2457
240	2531
241	2557
242	2569
243	2357
244	2366
245	2385
246	2431
247	2375
248	2354
249	2352
250	2383
251	2370
252	2309
253	2249
254	2129
255	2256
256	2160
257	2082
258	2080
259	2166
260	2048
261	2164
262	2006
263	2044
264	2072
265	1912
266	1997
267	1998
268	1962
269	1893
270	1934
271	1836
272	1853
273	1856
274	1806
275	1920
276	1789
277	1779
278	1771
279	1788
280	1758
281	1737
282	1753
283	1785
284	1841
285	1781
286	1755
287	1723
288	1825
289	1774
290	1733
291	1792
292	1723
293	1670
294	1663
295	1670
296	1653
297	1622
298	1593
299	1637
300	1615
301	1546
302	1576
303	1508
304	1467
305	1574
306	1555
307	1585
308	1466
309	1544
310	1427
311	1436
312	1498
313	1441
314	1461
315	1446
316	1394
317	1383
318	1348
319	1393
320	1367
321	1417
322	1411
323	1413
324	1386
325	1308
326	1368
327	1371
328	1336
329	1318
330	1332
331	1348
332	1265
333	1330
334	1274
335	1229
336	1331
337	1238
338	1306
339	1239
340	1243
341	1247
342	1229
343	1248
344	1239
345	1255
346	1226
347	1186
348	1246
349	1216
350	1204
351	1163
352	1160
353	1152
354	1118
355	1113
356	1129
357	1044
358	1155
